Gene_symbol	Human_entrez	Rat_entrez	Mouse_entrez	Gene_Name	Synonym	DbTF	PMID	Uniprot_Human	Uniprot_Rat	Uniprot_mouse
AATF	"apoptosis antagonizing transcription factor"	26574	114512	56321	CHE-1|CHE1|DED	0	0	Q9NY61	Q9QYW0	Q9JKX4
ABCA11P	"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene"	79963	0	0	ABCA11|EST1133530	0	0			
ABCA4	"ATP-binding cassette, sub-family A (ABC1), member 4"	24	310836	11304	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	0	0	Q6AI28,P78363		O35600
ABL1	"c-abl oncogene 1, non-receptor tyrosine kinase"	25	311860	11350	ABL|JTK7|BCR/ABL|C-ABL|P150|V-ABL	0	0	Q59FK4,P00519	E9PT20	Q3SYK5,P00520,A2AV22
ABT1	"activator of basal transcription 1"	29777	306960	30946	HABT1	0	0	Q9ULW3	Q4KLM5	Q9QYL7
ABTB1	"ankyrin repeat and BTB (POZ) domain containing 1"	80325	297432	80283	BPOZ|BTB3|EF1ABP	0	0	Q969K4	Q5XIU1	Q99LJ2
ACTL6A	"actin-like 6A"	86	361925	56456	ACTL6|ARPN-BETA|ARP4|BAF53A|INO80K	0	0	O96019	Q4KM87	Q9Z2N8,Q505L1
ADAMTS17	"ADAM metallopeptidase with thrombospondin type 1 motif, 17"	170691	293004	233332	-	0	0	Q8TE56		E9Q4D1,Q3V310
ADAMTS19	"ADAM metallopeptidase with thrombospondin type 1 motif, 19"	171019	361332	240322	-	0	0	Q8TE59		P59509
ADAR	"adenosine deaminase, RNA-specific"	103	81635	56417	ADAR1|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	0	0	P55265	P55266	Q99MU3,Q3UH31
ADNP	"activity-dependent neuroprotector homeobox"	23394	64622	11538	ADNP1	0	0	Q9H2P0	G3V7G3	Q3UYC8,Q6ZQ47,A2BDX0
ADNP2	"ADNP homeobox 2"	22850	307236	240442	ZNF508	0	0	Q6IQ32	B2GVB8	Q8CHC8
ADPGK	"ADP-dependent glucokinase"	83440	315722	72141	2610017G09RIK|ADP-GK	0	0	Q9BRR6	G3V784	Q8VDL4
